Date,HSN Code,Description,Origin,Destination,Quantity,Unit Price (USD),Power Rating (KVA),Real Market Data
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
DD-MM-YYYY,,,,,,,,Yes/No
