Power Rating (KVA),Primary Voltage (kV),Secondary Voltage (kV),Phase,Type,Frequency (Hz),Unit Price (USD),Data Source
38.20387101446218,400.0,3.3,Three-phase,Distribution,50.0,872.9155431478532,Synthetic
740.1466464390786,400.0,3.3,Three-phase,Power,50.0,13972.714064106956,Synthetic
21.498089561848804,11.0,0.433,Three-phase,Distribution,50.0,415.37623404589317,Synthetic
735.7959601699805,66.0,0.22,Three-phase,Distribution,50.0,16672.018909477756,Synthetic
684.7390707145072,132.0,0.4,Three-phase,Power,50.0,15910.387297578804,Synthetic
296.4577316467744,6.6,3.3,Three-phase,Power,50.0,5722.130649795382,Synthetic
408.1358028463856,22.0,3.3,Three-phase,Distribution,50.0,9776.988008877212,Synthetic
301.9702954812892,66.0,11.0,Three-phase,Power,50.0,5692.330222222546,Synthetic
486.81722525001726,33.0,6.6,Single-phase,Distribution,50.0,7830.231609804689,Synthetic
248.09132578866542,220.0,0.22,Three-phase,Distribution,50.0,5760.863401811719,Synthetic
951.2597568527319,66.0,0.69,Three-phase,Power,50.0,20534.4012034698,Synthetic
461.2272248445552,6.6,0.69,Single-phase,Distribution,50.0,9904.816979665493,Synthetic
239.83187877639946,33.0,0.433,Three-phase,Instrument,50.0,4025.876266732328,Synthetic
305.90317044146883,132.0,0.4,Three-phase,Distribution,60.0,7135.007384359255,Synthetic
93.89768710954372,11.0,6.6,Three-phase,Distribution,50.0,2329.920931794883,Synthetic
684.9247042593767,66.0,11.0,Three-phase,Power,50.0,16123.03792633785,Synthetic
168.55718593238706,11.0,3.3,Three-phase,Distribution,50.0,4164.912650418639,Synthetic
611.9359625365299,400.0,0.433,Three-phase,Distribution,60.0,10967.935490794816,Synthetic
686.4407999880334,66.0,0.4,Three-phase,Distribution,50.0,14722.822382630766,Synthetic
637.2249930137734,66.0,33.0,Three-phase,Power,50.0,13026.272888470126,Synthetic
236.117398685285,66.0,11.0,Three-phase,Distribution,50.0,4355.923688173657,Synthetic
466.832594817106,11.0,0.22,Three-phase,Distribution,50.0,11296.321611519554,Synthetic
803.2780577716096,132.0,0.69,Three-phase,Power,50.0,16945.769058267157,Synthetic
168.69917310858247,11.0,11.0,Three-phase,Power,60.0,3034.300662226427,Synthetic
862.2265046389804,132.0,0.22,Three-phase,Power,50.0,22198.367923759793,Synthetic
774.8237009686812,33.0,0.69,Three-phase,Power,50.0,13326.52602373663,Synthetic
674.4647084175035,220.0,0.69,Three-phase,Distribution,50.0,13256.24704150644,Synthetic
98.36585985831,6.6,33.0,Three-phase,Distribution,50.0,2480.3921142548124,Synthetic
776.9779973844688,11.0,0.69,Three-phase,Distribution,50.0,17690.44555647538,Synthetic
525.511518839007,6.6,0.22,Three-phase,Power,50.0,11956.41327422695,Synthetic
964.4142951286832,132.0,3.3,Three-phase,Distribution,50.0,21572.097673593908,Synthetic
892.9401725414901,132.0,33.0,Three-phase,Distribution,60.0,15380.687963318927,Synthetic
583.2525306341951,220.0,0.433,Three-phase,Distribution,50.0,11053.58330549489,Synthetic
651.8472284515185,6.6,3.3,Three-phase,Power,60.0,12322.080982839032,Synthetic
419.71396680921276,11.0,33.0,Three-phase,Power,50.0,9610.715471155409,Synthetic
638.8493593106971,33.0,33.0,Three-phase,Power,50.0,14517.213290682255,Synthetic
707.0119166681494,6.6,11.0,Three-phase,Distribution,50.0,14938.387032248238,Synthetic
643.8717583910119,6.6,0.22,Three-phase,Power,50.0,10911.24366520959,Synthetic
254.54035724933485,33.0,6.6,Three-phase,Distribution,50.0,4305.464370956781,Synthetic
180.08236839455122,400.0,11.0,Three-phase,Power,50.0,3449.7185417894675,Synthetic
948.1025034272207,132.0,3.3,Three-phase,Power,50.0,19447.246647450833,Synthetic
54.84628161501755,132.0,6.6,Three-phase,Distribution,50.0,1204.7529292145457,Synthetic
332.8658104843321,33.0,0.69,Three-phase,Distribution,50.0,6296.22663239857,Synthetic
995.5315509578974,400.0,11.0,Three-phase,Power,50.0,22066.705824754536,Synthetic
879.978338638956,400.0,0.22,Three-phase,Power,50.0,19587.048165601092,Synthetic
738.8577973558134,11.0,3.3,Three-phase,Distribution,50.0,16109.894274057318,Synthetic
35.51011215871257,220.0,33.0,Three-phase,Distribution,50.0,858.7245723758908,Synthetic
873.2255736575994,400.0,0.22,Three-phase,Power,60.0,19088.807805554734,Synthetic
955.7135922163527,132.0,0.22,Single-phase,Power,60.0,20880.593861322297,Synthetic
542.0963832260865,11.0,0.433,Three-phase,Distribution,60.0,12252.613560244541,Synthetic
946.1716398103453,132.0,11.0,Single-phase,Power,60.0,22440.060336735074,Synthetic
904.3642395046201,220.0,0.4,Three-phase,Power,50.0,22883.57360880625,Synthetic
475.45373989722515,400.0,0.69,Three-phase,Power,50.0,10856.274111598092,Synthetic
308.8236630409689,11.0,0.4,Three-phase,Distribution,50.0,6678.013752028687,Synthetic
680.5460198987444,220.0,0.69,Three-phase,Distribution,50.0,16165.066001469035,Synthetic
957.8107192450695,33.0,6.6,Three-phase,Power,50.0,19387.952701945713,Synthetic
191.92728047879518,132.0,0.69,Three-phase,Power,50.0,3814.2355355342975,Synthetic
180.94579862699572,22.0,0.22,Three-phase,Auto,50.0,4056.5004949751683,Synthetic
286.4691796194996,33.0,0.22,Three-phase,Distribution,50.0,5122.9026171558335,Synthetic
205.83559741873663,6.6,0.22,Three-phase,Power,50.0,4664.792300321667,Synthetic
9685.274027072634,220.0,3.3,Three-phase,Power,50.0,191003.9657655375,Synthetic
8174.474223383267,400.0,0.433,Single-phase,Power,50.0,175356.38150405578,Synthetic
9630.848649300367,22.0,0.4,Three-phase,Power,60.0,215499.15941422238,Synthetic
7338.756490958837,132.0,0.4,Three-phase,Distribution,50.0,186043.9140434833,Synthetic
9035.80066342682,400.0,0.69,Three-phase,Distribution,50.0,152490.20886460398,Synthetic
1862.341559294987,66.0,0.433,Three-phase,Distribution,50.0,30176.845310265475,Synthetic
7487.137986018965,6.6,0.433,Three-phase,Distribution,50.0,171390.11726422168,Synthetic
7680.635513033844,220.0,0.69,Three-phase,Power,50.0,173415.35263211568,Synthetic
1258.3324144286987,11.0,0.22,Three-phase,Instrument,50.0,24216.438253906348,Synthetic
2665.4280262140387,66.0,0.4,Three-phase,Power,50.0,66945.7583271457,Synthetic
8361.332270866958,22.0,33.0,Three-phase,Power,50.0,217240.27560106287,Synthetic
8049.342230574447,33.0,33.0,Single-phase,Auto,50.0,192381.91118323998,Synthetic
3812.3561503871397,33.0,33.0,Three-phase,Distribution,50.0,94057.74329251934,Synthetic
2064.2870509481672,11.0,3.3,Three-phase,Distribution,50.0,37663.11590930235,Synthetic
3564.0029459129505,6.6,0.433,Three-phase,Power,50.0,78642.14501659898,Synthetic
1512.701703233214,22.0,0.433,Three-phase,Power,50.0,28379.606423223915,Synthetic
8390.731426992843,66.0,6.6,Three-phase,Power,50.0,205204.80238215515,Synthetic
3121.8814931677334,33.0,0.22,Three-phase,Power,60.0,64013.39520473093,Synthetic
1059.3825030515973,33.0,11.0,Three-phase,Power,50.0,19746.909479335907,Synthetic
2258.8011550225237,33.0,0.4,Three-phase,Instrument,50.0,58587.44138403525,Synthetic
5311.41723614964,66.0,0.433,Three-phase,Power,60.0,123691.51445181541,Synthetic
1860.8815891566715,22.0,6.6,Three-phase,Distribution,50.0,41573.064966337835,Synthetic
9093.708599635029,6.6,33.0,Three-phase,Distribution,60.0,231948.78150334314,Synthetic
1703.4756852178168,132.0,0.69,Three-phase,Distribution,50.0,38013.648758535055,Synthetic
3488.4423108348387,220.0,0.433,Three-phase,Power,50.0,85374.14727363268,Synthetic
9944.141626540915,11.0,3.3,Three-phase,Distribution,50.0,239243.7123407699,Synthetic
4353.295278817652,132.0,0.69,Three-phase,Distribution,50.0,100694.36413366254,Synthetic
6674.91508794519,33.0,11.0,Three-phase,Power,60.0,158140.84475700205,Synthetic
4098.365257166202,6.6,3.3,Three-phase,Power,50.0,100623.15317716637,Synthetic
4979.368926158108,66.0,3.3,Three-phase,Power,50.0,110763.23069661124,Synthetic
20474.73169300051,6.6,3.3,Three-phase,Power,50.0,431898.3482865256,Synthetic
44620.68611566468,220.0,0.433,Three-phase,Distribution,50.0,1081260.1214468188,Synthetic
90769.30133595846,400.0,0.22,Three-phase,Power,50.0,2010516.0985150032,Synthetic
49240.62618949506,6.6,3.3,Three-phase,Distribution,60.0,845049.3603776484,Synthetic
44931.33010149964,11.0,11.0,Three-phase,Power,50.0,778883.9889534656,Synthetic
81229.37657831865,11.0,11.0,Three-phase,Power,50.0,1893208.5900861444,Synthetic
27892.88726015793,11.0,33.0,Single-phase,Power,60.0,567540.1925073169,Synthetic
46966.47475132556,66.0,11.0,Three-phase,Distribution,60.0,843001.5329798375,Synthetic
75955.97914267902,6.6,0.69,Three-phase,Power,50.0,1373568.7789514093,Synthetic
34153.34544487366,220.0,0.22,Three-phase,Distribution,50.0,644470.9528352502,Synthetic
